Location,temperature,humidity,ph,rainfall,N,P,K,label,price,Price_Date
Bodinayakanur,26.7230014,62.96841833,6.898905799,42.87274897,84,10,198,Lentil,871,9-Mar-13
Bhuvanagiri,19.55750776,64.45268309,6.818681086,53.04669416,91,?,194,Lentil,725,10-Mar-13
Bhavanisagar,26.13708256,66.7729209,6.261937875,46.48280681,51,9,194,Lentil,685,11-Mar-13
Bhavani,27.99990346,65.57653373,6.493036868,49.94043064,98,?,160,Lentil,618,12-Mar-13
Bargur,29.05941162,62.10652364,7.042474679,36.5011366,103,13,194,Lentil,673,13-Mar-13
Avanashi,25.71269843,64.1123333,7.692013657,50.17067771,55,8,198,Lentil,671,14-Mar-13
Avadi,21.79792649,63.73086065,6.250994223,46.62370222,113,?,149,Lentil,943,15-Mar-13
Attur,24.70626432,60.26854183,6.052184881,53.12442925,51,10,199,Lentil,982,16-Mar-13
Athoor,20.94981756,65.8108757,7.002216044,44.23913012,64,13,171,Lentil,1052,17-Mar-13
Aruppukkottai,24.84918386,68.98088448,7.272427638,41.61080544,65,25,194,Lentil,749,18-Mar-13
Ariyalur,21.91041045,65.21662467,5.962001484,36.10211371,84,10,195,Lentil,878,19-Mar-13
Arcot,25.93381964,68.70533022,7.080506001,51.02372773,94,8,155,Lentil,1112,20-Mar-13
Aravakurichi,29.82112112,69.4073209,6.593798387,51.56461082,108,23,185,Lentil,919,21-Mar-13
Aranthangi,27.52185591,63.13215259,7.28805662,45.20841071,75,25,198,Lentil,828,22-Mar-13
Arani,27.99627907,68.6428593,7.32710972,46.10585191,109,16,185,Lentil,244,23-Mar-13
Arakkonam,20.76774783,63.90164154,6.366355781,47.9271552,113,13,169,Lentil,72,24-Mar-13
Anthiyur,23.05276444,60.424786,7.011121216,52.60285259,94,8,169,Lentil,83,25-Mar-13
Anna Nagar,21.65845777,63.58337146,6.280725549,38.07659414,75,9,185,Lentil,9,26-Mar-13
Andipatti,26.25070298,67.62779652,7.621494566,40.8106299,75,13,194,Lentil,46,27-Mar-13
Anaikattu,20.97195263,63.83179889,7.630424083,53.10207889,124,8,143,Lentil,50,28-Mar-13
Ambur,23.89736406,66.32102048,7.802212437,40.74536757,101,36,165,Lentil,83,29-Mar-13
Ambattur,25.52468965,72.24850829,6.002524871,151.8869972,73,11,154,Jute,316,30-Mar-13
Ambasamudram,26.59104992,82.94164078,6.033485257,161.2469997,97,75,144,Jute,429,31-Mar-13
Alangulam,25.29781791,86.8870535,7.121933579,196.6249511,113,21,155,Jute,545,1-Apr-13
Alangudi,25.72100868,88.16513579,6.207459637,175.6086697,75,9,108,Jute,613,2-Apr-13
Alandur,23.58419277,72.00460848,6.090060478,190.4242157,84,9,?,Jute,551,3-Apr-13
Yercaud,25.31042337,72.01364411,6.346715209,190.5577618,104,23,106,Jute,769,4-Apr-13
Vriddhachalam,23.41798979,85.08640476,6.661957897,185.7446728,125,28,?,Jute,635,5-Apr-13
Virugambakkam,24.35564134,88.80391021,6.176860192,169.1168028,103,13,159,Jute,913,6-Apr-13
Virudhunagar,26.284017,75.14640198,7.251847296,182.2685447,63,9,159,Jute,716,7-Apr-13
Viralimalai,25.13842773,83.12053888,6.386259978,169.3388465,54,10,159,Jute,972,8-Apr-13
Villupuram,24.88692811,71.91711523,7.319735475,150.2498675,103,20,170,Jute,923,9-Apr-13
Villivakkam,25.75734909,88.36668522,6.025028997,189.4263485,103,15,169,Jute,1178,10-Apr-13
Vilavancode,23.12844351,74.68322732,6.344751947,199.8362913,103,?,166,Jute,1134,11-Apr-13
Vilathikulam,24.9949957,88.95692783,7.02777956,151.4935635,74,10,179,Jute,1150,12-Apr-13
Vikravandi,25.21622704,70.88259632,7.299304715,195.8645552,85,21,184,Jute,873,13-Apr-13
Veppanahalli,24.39736241,79.26861738,7.014063944,164.2697011,79,10,154,Jute,1360,14-Apr-13
Vellore,23.31410442,71.4509053,7.488014404,164.4970373,95,9,198,Jute,952,15-Apr-13
Velachery,25.72668885,81.86171563,6.626503893,191.9649389,113,14,190,Jute,605,16-Apr-13
Veerapandi,26.96656378,78.21047693,6.239011,169.8391177,76,9,151,Jute,73,17-Apr-13
Vedasandur,23.70467146,74.63745355,6.742688094,181.2783964,51,9,169,Jute,33,18-Apr-13
Vedaranyam,24.90075709,73.84186449,6.588017308,153.8990984,55,9,150,Jute,14,19-Apr-13
Vasudevanallur,23.39605743,72.60512854,7.097586415,174.7876411,113,13,183,Jute,67,20-Apr-13
Vanur,26.8748389,79.78725152,6.956682743,173.1017097,110,12,183,Jute,27,21-Apr-13
Vaniyambadi,23.1426498,74.99739774,7.380396262,151.9035477,71,14,103,Jute,73,22-Apr-13
Vandavasi,24.29496635,77.62976013,6.176618831,184.9800516,53,6,191,Jute,260,23-Apr-13
Valparai,24.39459498,89.89106506,6.551130445,197.1220049,109,13,181,Jute,382,24-Apr-13
Uthiramerur,25.7629429,80.76238215,6.427726565,174.5071843,98,21,179,Jute,558,25-Apr-13
Uthangarai,25.4879684,84.48235878,6.740947635,168.7848886,69,12,?,Jute,622,26-Apr-13
Usilampatti,25.37122686,76.2403666,6.130136384,183.8270791,50,9,103,Jute,667,27-Apr-13
Ulundurpettai,26.21312799,81.70476368,6.667633355,180.1237765,59,8,160,Jute,660,28-Apr-13
Udumalaipettai,24.30748599,78.54340987,6.186814392,186.2337571,110,10,155,Jute,568,29-Apr-13
Udhagamandalam,23.76554749,87.98329901,6.334837865,150.3166152,98,14,113,Jute,760,30-Apr-13
Tittakudi,24.79853023,78.53037059,7.16214284,162.2847429,113,13,193,Jute,831,1-May-13
Tiruvannamalai,23.20683504,74.09956958,7.422318499,199.4766779,98,7,144,Jute,901,2-May-13
Tiruvaikuntam,23.66805429,70.89000744,6.768001309,184.4633281,55,9,103,Jute,1093,3-May-13
Tiruvadanai,25.12417673,85.72530641,6.348441469,159.5718087,95,13,160,Jute,1058,4-May-13
Tiruttani,23.89069041,83.46409075,6.097294061,167.7230632,99,21,110,Jute,1060,5-May-13
Tiruppur (South),23.09433785,81.45139295,6.14132902,196.6587013,94,23,174,Jute,1150,6-May-13
Tiruppur (North),24.21744605,82.85284045,7.479248124,166.1365886,?,23,150,Jute,1096,7-May-13
"Tiruppattur, Sivaganga",24.06475727,71.31342851,6.509174789,153.6390212,69,13,164,Jute,940,8-May-13
"Tirupattur, Vellore",24.85441411,74.4407048,6.57256106,175.572958,74,9,187,Jute,786,9-May-13
Tirunelveli,26.41915161,76.85691248,7.165696848,197.2101782,94,9,122,Jute,371,10-May-13
Tirumangalam,24.89326318,77.01222585,7.207457208,196.469984,113,?,191,Jute,111,11-May-13
Tirukkoyilur,23.25583402,82.7015932,7.124333547,166.2160846,69,?,194,Jute,7,12-May-13
Tiruchuli,24.7634518,87.06071115,6.463538707,179.1630865,103,15,144,Jute,10,13-May-13
Tiruchirappalli (West),24.97042599,78.62697699,6.856833064,166.6415254,98,23,160,Jute,89,14-May-13
Tiruchirappalli (East),26.12797248,80.49172597,7.132389299,150.6326874,77,11,166,Jute,33,15-May-13
Tiruchengodu,25.97825807,81.65769588,6.235357638,163.3488091,126,11,175,Jute,31,16-May-13
Tiruchendur,26.2830571,73.35763537,6.704273839,186.6898282,65,7,198,Jute,55,17-May-13
Tindivanam,26.38905406,83.31240346,7.433313409,176.1516409,103,10,169,Jute,143,18-May-13
Thuraiyur,25.2746335,73.7459581,6.109478059,168.0432282,69,14,154,Jute,169,19-May-13
Thousand Lights,23.09499564,78.45959697,7.095413294,155.3851533,54,?,162,Jute,433,20-May-13
Thoothukudi,25.79351957,81.76904006,6.352076783,193.2418382,104,23,176,Jute,331,21-May-13
Thondamuthur,23.17403323,87.88255345,6.658769991,160.6217342,54,13,124,Jute,434,22-May-13
Thiruvottiyur,25.63215038,79.95150917,7.051822472,182.2582277,65,10,144,Jute,324,23-May-13
Thiruvidaimarudur,25.848795,87.81661683,7.333143205,152.6194403,103,11,150,Jute,413,24-May-13
Thiruverumbur,26.56767277,80.90424543,6.352771037,181.2915605,108,6,169,Jute,367,25-May-13
Thiruvarur,26.24532085,72.97198375,7.124050134,189.9711184,85,10,171,Jute,476,26-May-13
Thiruvallur,26.91515043,73.19897535,6.998787171,177.2233048,103,21,198,Jute,419,27-May-13
Thiruvaiyaru,24.36972377,82.11319791,6.537914958,159.9210934,103,?,165,Jute,324,28-May-13
Thiruthuraipoondi,25.71901283,79.15532398,7.171054239,187.1735424,111,?,165,Jute,268,29-May-13
Thiruporur,25.01157559,88.3313023,7.228268228,169.4168014,85,9,159,Jute,409,30-May-13
Thiruparankundram,25.40785911,76.44048625,7.319952206,188.6372826,85,7,144,Jute,522,31-May-13
Thirumayam,23.28081,74.27607475,6.613341343,153.7447398,71,10,149,Jute,255,1-Jun-13
Thiru. Vi. Ka. Nagar,23.98651719,82.09053379,6.096838784,167.0576456,60,13,194,Jute,447,2-Jun-13
Thanjavur,24.48556447,83.20630007,6.132570523,192.2316221,79,13,195,Jute,87,3-Jun-13
Thalli,25.86705009,84.09985284,7.36008498,154.8390847,99,10,126,Jute,12,4-Jun-13
Tenkasi,23.5643831,79.46283115,7.321619041,185.25947,99,10,136,Jute,3,5-Jun-13
Tambaram,24.2248758,74.89465426,7.175170657,192.4931257,126,18,105,Jute,4,6-Jun-13
T. Nagar,25.49386782,86.97061481,7.299076163,176.5268267,108,7,195,Jute,7,7-Jun-13
Sulur,24.97178693,79.47557931,6.842966479,195.7571622,98,7,154,Jute,3,8-Jun-13
Srivilliputhur,24.80624984,82.09281674,6.356295568,156.3616174,74,9,198,Jute,22,9-Jun-13
Srirangam,23.16814977,76.66724969,6.508342839,157.1215052,118,25,164,Jute,7,10-Jun-13
Sriperumbudur,24.25133493,89.86454053,7.098227926,175.1742112,98,7,179,Jute,116,11-Jun-13
Sivakasi,26.58361011,78.00774772,6.310699968,154.8238864,125,24,199,Jute,185,12-Jun-13
Sivaganga,26.82489244,78.20392774,7.093328631,153.9199807,69,10,155,Jute,288,13-Jun-13
Sirkazhi,25.49674786,81.13449097,6.691074249,169.9288234,92,7,110,Jute,377,14-Jun-13
Singanallur,24.09874353,80.57226761,6.187746776,176.8604109,99,14,162,Jute,504,15-Jun-13
Sholingur,23.18866654,86.20899734,6.491506245,176.103677,107,13,173,Jute,456,16-Jun-13
Sholinganallur,26.24347471,78.51063754,6.855362875,183.4065252,?,21,199,Jute,758,17-Jun-13
Sholavandan,23.75091572,71.14782585,7.124571593,160.0889553,75,13,191,Jute,732,18-Jun-13
Senthamangalam,26.13871511,79.1188943,6.067302109,171.4892533,98,18,154,Jute,934,19-Jun-13
Sattur,26.14576648,71.23690851,6.432051512,193.1007598,66,18,130,Jute,966,20-Jun-13
Sankarapuram,26.91643698,73.48655995,6.253408852,171.4716375,103,18,160,Jute,1146,21-Jun-13
Sankarankovil,26.5232969,77.17331847,7.287318723,157.8548562,107,13,163,Jute,740,22-Jun-13
Sankagiri,23.81579631,80.94023552,7.161865733,190.312216,121,23,199,Jute,964,23-Jun-13
Salem (West),26.50838667,86.84264005,6.065898283,152.9801697,109,19,103,Jute,1006,24-Jun-13
Salem (South),26.63952463,70.95705996,7.311077075,199.3355744,113,18,198,Jute,640,25-Jun-13
Salem (North),23.3250131,79.79609448,6.581693772,187.3096148,?,33,103,Jute,829,26-Jun-13
Saidapet,26.47549543,73.96164569,6.732826127,180.2513601,94,7,169,Jute,295,27-Jun-13
Royapuram,23.78756036,74.36794079,6.014572075,172.6442654,69,10,164,Jute,11,28-Jun-13
Rishivandiyam,25.49941707,75.99987588,6.663559451,193.7141828,87,21,176,Jute,13,29-Jun-13
Rasipuram,23.24925555,73.65346838,6.434610995,184.7674863,103,25,194,Jute,9,30-Jun-13
Ranipet,26.98582182,89.05587886,7.432768147,193.8778713,66,9,168,Jute,28,1-Jul-13
Ramanathapuram,23.61475336,86.14290267,6.987332927,150.2355238,94,25,194,Jute,41,2-Jul-13
Rajapalayam,23.87484465,86.79261344,6.718725189,177.5147313,113,?,175,Jute,76,3-Jul-13
Radhapuram,23.92887902,88.07112278,6.880204617,154.6608736,91,9,191,Jute,262,4-Jul-13
Pudukkottai,24.81441246,81.68688879,6.86106911,190.7886386,64,16,124,Jute,245,5-Jul-13
Poonamallee,24.44743944,82.286484,6.7693455,190.9684885,74,9,169,Jute,449,6-Jul-13
Poompuhar,26.57421679,73.81994896,7.26158085,159.3223075,74,10,180,Jute,593,7-Jul-13
Ponneri,26.33377983,57.36469955,7.261313694,191.6549412,98,18,171,Coffee,528,8-Jul-13
Polur,26.45288458,55.32222678,7.235070264,144.6861336,69,9,180,Coffee,757,9-Jul-13
Pollachi,25.70822684,52.88667115,7.18915558,136.7325092,84,9,154,Coffee,666,10-Jul-13
Perundurai,24.12832546,56.18107663,6.431899748,147.2757818,84,9,169,Coffee,493,11-Jul-13
Periyakulam,23.44372334,60.39523266,6.42321105,122.2103248,66,15,195,Coffee,904,12-Jul-13
Peravurani,23.4123707,52.26994674,6.869720196,139.3670753,98,10,154,Coffee,703,13-Jul-13
Perambur,23.05951896,50.40609436,6.973839707,164.4971875,64,?,194,Coffee,878,14-Jul-13
Perambalur,23.07895447,63.65861483,7.184801627,129.8765443,95,7,103,Coffee,1023,15-Jul-13
Pennagaram,27.6496114,51.11044023,6.351823783,122.8392822,95,10,190,Coffee,1176,16-Jul-13
Pattukkottai,25.46743689,69.35161206,6.392048018,171.3764462,98,21,177,Coffee,1314,17-Jul-13
Paramathi Velur,26.7350622,55.55164819,6.119892347,140.6305213,84,?,135,Coffee,1579,18-Jul-13
Paramakudi,26.20811417,52.50987966,6.910823945,189.0944824,98,10,138,Coffee,1347,19-Jul-13
Pappireddippatti,27.0424167,57.27927475,6.501157208,165.6872119,89,54,138,Coffee,1306,20-Jul-13
Papanasam,24.65090184,51.93952357,7.027585559,135.1386537,64,8,180,Coffee,584,21-Jul-13
Panruti,27.35152643,55.99375012,7.13411409,148.9812525,105,?,118,Coffee,220,22-Jul-13
Pallavaram,25.17787724,62.26244581,6.647765997,135.0119649,96,16,103,Coffee,70,23-Jul-13
Palladam,23.11438731,68.00096043,6.703270635,161.8944624,71,9,172,Coffee,19,24-Jul-13
Palayamkottai,27.22783677,52.95261751,7.493191968,175.7260273,99,15,?,Coffee,69,25-Jul-13
Palani,23.26316991,60.5160021,6.724688503,194.1755471,85,14,103,Coffee,123,26-Jul-13
Palacode,25.234661,57.53161469,6.043485685,124.2261737,119,7,198,Coffee,133,27-Jul-13
Padmanabhapuram,25.59535262,57.72920846,7.101661011,195.7733251,60,9,165,Coffee,521,28-Jul-13
Ottapidaram,25.5674832,60.49244602,7.466900683,190.2257843,100,15,166,Coffee,928,29-Jul-13
Orathanadu,25.67324193,51.29043632,6.877799264,196.2736367,71,9,146,Coffee,1107,30-Jul-13
Omalur,24.40726724,62.65692638,6.410992833,148.6977358,113,?,108,Coffee,1370,31-Jul-13
Oddanchatram,23.69287069,66.76090123,7.393825704,144.6576424,64,15,179,Coffee,1226,1-Aug-13
Nominated (Anglo-Indian community,24.53460016,66.99765375,7.482414225,180.5059257,64,13,104,Coffee,1128,2-Aug-13
Nilakottai,27.13140403,52.89368299,6.081172981,192.4280381,103,21,197,Coffee,1005,3-Aug-13
Neyveli,27.56088634,68.49299897,6.516312148,167.4358075,51,9,155,Coffee,1020,4-Aug-13
Natham,23.59302313,55.27564977,6.043330951,191.3980675,103,?,103,Coffee,983,5-Aug-13
Nannilam,23.17714381,52.13864034,6.959404135,117.3113562,79,6,181,Coffee,890,6-Aug-13
Nanguneri,24.71384065,51.29142534,7.238109556,197.6439711,107,19,194,Coffee,919,7-Aug-13
Namakkal,24.38534644,64.72543073,7.234258375,119.6324109,103,41,194,Coffee,1110,8-Aug-13
Nagercoil,27.15998538,51.59100753,6.691541233,126.1752206,108,23,184,Coffee,992,9-Aug-13
Nagapattinam,26.53543168,67.09608099,6.809593554,120.6494434,65,15,185,Coffee,562,10-Aug-13
Mylapore,27.01207284,60.76645256,6.485761419,191.4508931,99,?,179,Coffee,436,11-Aug-13
Musiri,27.55906475,58.45742907,6.784460602,117.9389993,104,19,161,Coffee,260,12-Aug-13
Mudhukulathur,23.32293161,53.00366334,7.167092586,168.2644287,61,11,198,Coffee,34,13-Aug-13
Modakkurichi,24.23850608,54.30329632,6.73410539,115.1564012,103,?,191,Coffee,39,14-Aug-13
Mettur,23.42611644,64.10651528,6.779984384,122.6847408,125,19,138,Coffee,5,15-Aug-13
Mettupalayam,26.02241444,55.83288958,7.277422738,176.9020924,?,19,192,Coffee,6,16-Aug-13
Melur,24.83846178,56.7685316,7.21270048,124.4135035,59,10,183,Coffee,3,17-Aug-13
Mayiladuthurai,26.24092174,65.64381357,7.487266991,148.3771202,74,7,184,Coffee,7,18-Aug-13
Mannargudi,24.43011925,66.02411187,7.231166546,181.6368274,63,16,165,Coffee,11,19-Aug-13
Manapaarai,26.00373964,62.1445102,6.559817161,153.477776,109,18,103,Coffee,35,20-Aug-13
Manamadurai,26.22367404,62.26594559,6.979590627,193.7461968,106,21,179,Coffee,26,21-Aug-13
Manachanallur,27.09617155,63.55324262,6.779230041,190.2440566,99,19,195,Coffee,32,22-Aug-13
Mailam,25.64004392,61.03273481,6.217974349,199.4735636,74,14,180,Coffee,17,23-Aug-13
Maduravoyal,27.74576987,54.36976075,7.205078785,139.8619431,119,?,184,Coffee,15,24-Aug-13
Maduranthakam,26.24928198,54.28617819,6.854011265,133.1120232,99,25,184,Coffee,101,25-Aug-13
Madurai West,26.67377159,52.24226285,6.246872394,156.1543898,68,?,103,Coffee,232,26-Aug-13
Madurai South,27.10210397,55.7497332,6.911066044,139.5013171,113,9,146,Coffee,523,27-Aug-13
Madurai North,27.62975458,61.26002598,6.777417989,196.6492664,69,15,160,Coffee,736,28-Aug-13
Madurai East,27.5364547,55.51673151,6.273741983,130.6377143,65,10,175,Coffee,752,29-Aug-13
Madurai Central,23.56960509,50.56339727,6.906124587,130.3797119,74,?,194,Coffee,754,30-Aug-13
Madavaram,24.99451759,57.93250202,7.162802357,192.8736822,68,13,133,Coffee,805,31-Aug-13
Madathukulam,27.56441788,54.41094079,6.955787351,177.816092,121,35,194,Coffee,905,1-Sep-13
Lalgudi,23.98143338,61.10935084,6.971963169,161.5279095,99,10,295,Coffee,756,2-Sep-13
Kurinjipadi,24.22984659,67.37768353,6.840927967,122.4073418,59,8,91,Coffee,799,3-Sep-13
Kunnam,25.60153969,68.66257977,6.536676653,168.8383605,80,9,39,Coffee,1170,4-Sep-13
Kumbakonam,24.31274458,53.57285558,6.089443603,184.4103931,95,?,171,Coffee,977,5-Sep-13
Kumarapalayam,26.36629861,52.25738495,7.456460375,177.3176161,54,10,149,Coffee,656,6-Sep-13
Kulithalai,26.5602777,57.1621814,6.759211911,152.0616227,110,9,118,Coffee,357,7-Sep-13
Krishnarayapuram,26.35034208,58.50650238,7.460174812,121.5586297,96,23,150,Coffee,12,8-Sep-13
Krishnagiri,25.20406808,57.88370456,6.652642579,156.1457255,103,13,194,Coffee,28,9-Sep-13
Kovilpatti,23.35723208,55.18792166,6.026287448,171.6976946,79,10,104,Coffee,8,10-Sep-13
Kolathur,23.60567546,59.68849145,6.074190142,185.1568059,71,13,155,Coffee,23,11-Sep-13
Kinathukadavu,24.18471151,69.94807345,7.045543056,163.2708732,56,10,169,Coffee,47,12-Sep-13
Kilvelur,26.44414097,53.83876189,6.993236001,175.3723314,76,10,171,Coffee,111,13-Sep-13
Kilpennathur,26.12492233,63.37479229,6.726528895,147.8035305,91,15,161,Coffee,220,14-Sep-13
Killiyoor,27.77363343,64.47858698,6.937352845,192.7121236,79,14,144,Coffee,622,15-Sep-13
Kavundampalayam,25.55656667,62.67087838,7.27905689,193.5866233,91,16,195,Coffee,614,16-Sep-13
Kattumannarkoil,27.92374437,67.96910852,7.079850922,115.2325531,103,22,164,Coffee,936,17-Sep-13
Katpadi,26.05968403,52.31098539,6.136286518,161.3432535,94,9,198,Coffee,762,18-Sep-13
Karur,26.35770906,64.57578034,6.505203696,163.6269496,66,15,149,Coffee,851,19-Sep-13
Karaikudi,24.91370487,54.15319242,7.042089492,129.5481144,59,?,160,Coffee,938,20-Sep-13
Kanniyakumari,27.31317116,68.4233391,6.348337519,192.4288139,126,57,195,Coffee,885,21-Sep-13
Kangayam,26.1387869,52.26311691,7.432322234,136.3027766,95,?,181,Coffee,769,22-Sep-13
Kancheepuram,23.1069385,67.06230539,6.787658922,162.5769606,53,13,95,Coffee,905,23-Sep-13
Kallakurichi,23.52648086,68.44030686,6.743417121,171.8839938,?,?,104,Coffee,976,24-Sep-13
Kalasapakkam,25.11711046,68.48030408,7.00733163,194.8773479,126,79,160,Coffee,1099,25-Sep-13
Kadayanallur,24.02952505,58.84880599,7.303033217,134.6803969,94,25,174,Coffee,1044,26-Sep-13
K. V. Kuppam,26.70897548,69.71184111,6.861235184,158.8608887,113,25,194,Coffee,902,27-Sep-13
Jolarpet,26.71717393,50.50148528,7.131435858,126.8073984,113,?,198,Coffee,1334,28-Sep-13
Jayankondam,24.59245684,56.46829641,7.288211994,137.7044047,124,23,184,Coffee,1189,29-Sep-13
Hosur,27.51006055,50.66687215,6.983732393,143.9955548,69,11,174,Coffee,873,30-Sep-13
Harur,27.57847581,58.52534263,6.172090205,156.6810374,91,19,169,Coffee,400,1-Oct-13
Harbour,26.65069302,57.56695719,6.35118177,145.105065,59,8,?,Coffee,47,2-Oct-13
Gummidipoondi,26.97251562,62.0183627,6.908671379,142.8610793,59,10,171,Coffee,12,3-Oct-13
Gudiyattam,23.17124551,52.97841162,6.766184468,153.1201644,113,19,118,Coffee,2,4-Oct-13
Gudalur,23.52652084,65.44340921,6.392791654,186.1728203,51,9,99,Coffee,19,5-Oct-13
Gobichettipalayam,27.30901814,55.196224,6.348316257,141.4831644,65,9,119,Coffee,49,6-Oct-13
Gingee,27.54823036,62.88179198,6.123796057,181.4170812,121,25,81,Coffee,29,7-Oct-13
Gangavalli,25.627355,57.04151119,7.428523634,188.5506536,54,7,113,Coffee,244,8-Oct-13
Gandharvakottai,23.29250318,50.04557009,6.020947179,183.468585,65,58,126,Coffee,364,9-Oct-13
Erode (West),24.91461008,53.74144743,6.334610249,166.2549307,95,7,194,Coffee,533,10-Oct-13
Erode (East),26.77463708,66.4132686,6.78006386,177.7745075,71,63,165,Coffee,608,11-Oct-13
Egmore,27.41711238,56.63636248,6.086922359,127.92461,85,21,139,Coffee,632,12-Oct-13
Edapadi,24.13179691,67.22512329,6.362607851,173.3228386,113,25,175,Coffee,939,13-Oct-13
Dr. Radhakrishnan Nagar,26.2724184,52.12739421,6.758792552,127.1752928,76,10,103,Coffee,671,14-Oct-13
Dindigul,23.60301571,60.39647474,6.779832611,140.9370415,60,10,154,Coffee,860,15-Oct-13
Dharmapuri,24.40228894,79.19732001,7.231324765,90.8022356,55,13,58,Cotton,721,16-Oct-13
Dharapuram,23.09595631,84.86275707,6.925412377,71.29581071,109,19,108,Cotton,956,17-Oct-13
Cumbum,23.9656349,76.97696717,7.633437412,90.75616738,100,18,198,Cotton,1007,18-Oct-13
Cuddalore,24.88738107,75.62137159,6.827354668,89.76050416,108,?,169,Cotton,1038,19-Oct-13
Coonoor,25.36243778,83.63276077,6.176716425,88.43618918,84,16,200,Cotton,961,20-Oct-13
Colachal,24.69457084,81.7358876,6.628722836,78.58494391,129,23,200,Cotton,853,21-Oct-13
Coimbatore North,25.0017188,80.53965818,7.256877571,96.32600992,113,22,200,Cotton,966,22-Oct-13
Coimbatore (South),22.45942937,81.30681027,6.443785385,64.23026638,76,11,113,Cotton,952,23-Oct-13
Chidambaram,23.60564038,79.29573149,7.723240151,72.49800885,103,10,169,Cotton,682,24-Oct-13
Cheyyur,24.58453146,79.12404171,5.947448589,71.94608134,66,9,176,Cotton,330,25-Oct-13
Cheyyar,23.0865933,83.55546146,7.227745516,71.84080724,113,23,149,Cotton,24,26-Oct-13
Chepauk-Thiruvallikeni,23.5000992,83.63488952,6.219469084,79.81328183,95,15,191,Cotton,23,27-Oct-13
Chengam,24.1472953,75.88298598,6.021439523,69.91563467,118,19,199,Cotton,14,28-Oct-13
Chengalpattu,24.69315538,84.84422454,6.253343655,89.799462,118,15,195,Cotton,12,29-Oct-13
Bodinayakanur,24.484692,84.44932014,6.187455799,90.94342484,84,10,198,Cotton,22,30-Oct-13
Bhuvanagiri,24.49112609,82.24415809,7.057693366,64.02949379,91,?,194,Cotton,14,31-Oct-13
Bhavanisagar,23.47986888,81.73049149,6.720449769,86.76287924,51,9,194,Cotton,36,1-Nov-13
Bhavani,24.18586246,76.04203958,6.431689506,69.08056728,98,?,160,Cotton,131,2-Nov-13
Bargur,25.00755095,78.17952126,7.453106264,86.06411872,103,13,194,Cotton,165,3-Nov-13
Avanashi,25.99237426,77.0543546,7.368258226,89.1188212,55,8,198,Cotton,433,4-Nov-13
Avadi,23.66457347,81.69105088,7.352401887,99.36898373,113,?,149,Cotton,357,5-Nov-13
Attur,25.66891439,81.38103349,6.652143699,78.59595817,51,10,199,Cotton,409,6-Nov-13
Athoor,22.04612876,84.62978302,6.144631795,86.00758678,64,13,171,Cotton,450,7-Nov-13
Aruppukkottai,22.4204752,84.55794703,7.318802162,93.46595573,65,25,194,Cotton,471,8-Nov-13
Ariyalur,25.03149561,82.21276599,7.954629324,95.0191318,84,10,195,Cotton,392,9-Nov-13
Arcot,23.53371386,77.21705554,6.207652157,87.54004943,94,8,155,Cotton,322,10-Nov-13
Aravakurichi,22.77076388,82.5993307,6.631005298,81.49543437,108,23,185,Cotton,459,11-Nov-13
Aranthangi,25.49848236,79.9751579,7.306918817,67.05961949,75,25,198,Cotton,338,12-Nov-13
Arani,25.248679,83.4630147,5.898293044,86.55517751,109,16,185,Cotton,230,13-Nov-13
Arakkonam,22.78249615,77.51235009,7.238566893,64.61444234,113,13,169,Cotton,292,14-Nov-13
Anthiyur,23.37044424,77.43198948,7.977651226,71.67870701,94,8,169,Cotton,503,15-Nov-13
Anna Nagar,24.86560781,78.22080815,5.983075895,79.56866268,75,9,185,Cotton,260,16-Nov-13
Andipatti,24.14386157,84.51591287,6.785723961,80.36146974,75,13,194,Cotton,482,17-Nov-13
Anaikattu,25.03300222,79.04368718,7.393441155,97.10087029,124,8,143,Cotton,185,18-Nov-13
Ambur,23.65724079,84.47601498,6.486068274,88.54479121,101,36,165,Cotton,18,19-Nov-13
Ambattur,25.54359718,84.09229796,7.175934962,88.94245493,73,11,154,Cotton,9,20-Nov-13
Ambasamudram,22.00085141,79.47270984,7.388265888,90.42224164,97,75,144,Cotton,15,21-Nov-13
Alangulam,23.64328417,78.1258666,6.10539819,80.96157332,113,21,155,Cotton,9,22-Nov-13
Alangudi,23.96436009,78.02763149,6.419536555,84.63148859,75,9,108,Cotton,10,23-Nov-13
Alandur,24.65425757,75.6350708,6.307585854,61.82980133,84,9,?,Cotton,17,24-Nov-13
Yercaud,24.3017998,84.87668973,6.93221485,65.0247867,104,23,106,Cotton,37,25-Nov-13
Vriddhachalam,24.29144926,81.02453404,7.810865753,90.41694635,125,28,?,Cotton,123,26-Nov-13
Virugambakkam,24.29470232,84.61527627,6.527541661,81.05902285,103,13,159,Cotton,206,27-Nov-13
Virudhunagar,25.72180042,81.19666206,7.569454601,99.93100821,63,9,159,Cotton,354,28-Nov-13
Viralimalai,24.87663664,76.30050373,7.041065585,91.9223468,54,10,159,Cotton,314,29-Nov-13
Villupuram,22.60612115,77.34264002,7.208795456,75.13617229,103,20,170,Cotton,486,30-Nov-13
Villivakkam,23.86814008,75.68339729,6.814341946,90.4547185,103,15,169,Cotton,597,1-Dec-13
Vilavancode,23.41022496,76.43836957,7.442217061,78.82199603,103,?,166,Cotton,718,2-Dec-13
